Название;Цена;Наличие
Название;Цена;Наличие
Ноутбук Asus Zenbook Q407IQ-BR5N4 AMD Ryzen 5 4500U 8GB DDR4 256GB SSD Nvidia MX350 2GB FHD серый;82650 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 128GB SSD NVIDIA MX330 FHD DOS;60960 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 128GB SSD NVIDIA MX330 FHD DOS;63130 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 128GB SSD NVIDIA MX330 FHD DOS;65300 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 128GB SSD NVIDIA MX330 FHD DOS;69640 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 500GB HDD Intel UHD Graphics 600 HD серый;30500 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 256GB SSD NVIDIA MX330 FHD W10;64000 сом;На складе
Ноутбук Lenovo Flex 14 81SQ0000US Intel Core i5-8265U 8GB DDR4 256GB SSD Intel UHD Graphics 620 Full HD;69640 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 1000GB HDD Intel UHD Graphics 600 HD серый;30770 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 256GB SSD NVIDIA MX330 FHD W10;66170 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 4GB DDR4 512GB SSD NVIDIA MX330 FHD DOS;65300 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 120GB SSD Intel UHD Graphics 600 HD серый;30770 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 8GB DDR4 512GB SSD NVIDIA MX330 FHD DOS;67470 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS;68780 сом;На складе
